,valence,year,acousticness,artists,danceability,energy,explicit,instrumentalness,liveness,mode,name,release_date,speechiness,genera,duration_ms,key,loudness,popularity,tempo
0,0.306,1921,0.995,"Felix Mendelssohn, Arturo Toscanini",0.456,0.0923,0,0.0526,0.275,1,"A Midsummer Night's Dream, Op. 61: Wedding March",1921,0.0374,classical,0.12842659661293612,0.0,0.5578549973821268,0.0,0.18596528631267395
1,0.294,1923,0.9940000000000001,"Bessie Smith, Louis Armstrong",0.408,0.145,0,4.73e-05,0.138,1,St. Louis Blues (with Louis Armstrong),1923,0.0501,jazz,0.08866430320342786,0.9090909090909092,0.7778941276970983,0.24719101123595505,0.1381336376633474
2,0.35,1926,0.821,Fats Waller,0.515,0.222,0,0.00193,0.19,0,Ain't Misbehavin',1926,0.0575,jazz,0.11905733523770659,0.0,0.6145388409710932,0.550561797752809,0.32347814091148497
3,0.917,1926,0.971,Louis Armstrong & His Hot Seven,0.602,0.35100000000000003,0,0.345,0.142,1,Potato Head Blues,1926,0.16699999999999998,jazz,0.07921852683125893,0.4545454545454546,0.8666538069387418,0.23595505617977527,0.8453936642504198
4,0.7609999999999999,1929,0.9690000000000001,Louis Armstrong,0.613,0.299,0,0.513,0.051,1,Stardust,1929,0.0542,jazz,0.10373775760048967,0.09090909090909091,0.7776185620987077,0.16853932584269662,0.47353206752113164
5,0.168,1930,0.987,"Franz Liszt, Vladimir Horowitz",0.349,0.326,0,0.8859999999999999,0.784,1,"Hungarian Rhapsody No. 2 in C-Sharp Minor, S. 244/2",1930,0.0551,classical,0.31278501836359923,0.09090909090909091,0.6578301964782717,0.5393258426966292,0.20982467581328856
6,0.155,1942,0.995,"Ludwig van Beethoven, Vladimir Horowitz",0.292,0.0203,0,0.898,0.121,0,"Sonata No. 14 in C-Sharp Minor for Piano, Op. 27, No. 2 ""Moonlight"": I. Adagio sostenuto",1942,0.0367,classical,0.19324308814527646,0.09090909090909091,0.202430488577806,0.033707865168539325,0.1670408086483232
7,0.5760000000000001,1942,0.993,"Wolfgang Amadeus Mozart, Vladimir Horowitz",0.504,0.129,0,0.8959999999999999,0.127,1,"Piano Sonata No. 11 in A Major, K. 331: III. Rondo alla turca",1942,0.0539,classical,0.10808189655172412,0.8181818181818182,0.5061037780043539,0.06741573033707865,0.47546966314680583
8,0.552,1946,0.8290000000000001,Dizzy Gillespie,0.616,0.67,0,0.85,0.106,0,Manteca,1946,0.244,jazz,0.08648745154050194,0.4545454545454546,0.840612857890821,0.449438202247191,0.25285936441847046
9,0.0351,1947,0.981,"Edvard Grieg, Esa-Pekka Salonen",0.0734,0.0507,0,0.863,0.13,1,"Peer Gynt, Op. 23: Morning Mood",1947,0.0486,classical,0.13146998061620077,0.36363636363636365,0.5109537325360303,0.14606741573033707,0.1726090446211342
10,0.33,1947,0.946,"Gioachino Rossini, Riccardo Chailly, Orchestra Del Teatro Alla Scala, Milano",0.368,0.188,0,0.753,0.106,1,Overture to The Barber of Seville,1947,0.0462,classical,0.23786854723525808,0.36363636363636365,0.5920802447022514,0.15730337078651685,0.2955993378313978
11,0.439,1949,0.8690000000000001,"Giuseppe Verdi, James Levine, Metropolitan Opera Orchestra",0.387,0.28,0,0.34299999999999997,0.6659999999999999,1,Anvil Chorus from Il trovatore - Vocal,1949,0.0394,classical,0.0695521322179147,0.6363636363636364,0.6649122323569125,0.3146067415730337,0.5707629988211391
12,0.5,1949,0.98,"Gioachino Rossini, Riccardo Chailly, Orchestra Del Teatro Alla Scala, Milano",0.4370000000000001,0.252,0,0.4,0.16399999999999998,1,Largo al factotum from The Barber of Seville - Vocal,1949,0.0562,classical,0.13158921648643132,0.6363636363636364,0.6052522803053267,0.23595505617977527,0.16806917655321174
13,0.20600000000000002,1951,0.907,Thelonious Monk,0.542,0.32,0,0.649,0.0609,1,'Round Midnight,1951,0.0387,jazz,0.09104455723321772,0.7272727272727273,0.8058640359337541,0.651685393258427,0.4381662444505756
14,0.289,1951,0.9840000000000001,Ahmad Jamal,0.5529999999999999,0.0902,0,0.91,0.1,1,Poinciana,1951,0.043,jazz,0.14200354519485817,0.18181818181818182,0.48852269282702754,0.5842696629213483,0.267112292758785
15,0.0711,1951,0.97,"Ludwig van Beethoven, Arturo Toscanini",0.22899999999999998,0.0767,0,0.341,0.0998,0,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",1951,0.0377,classical,0.2730654458273821,0.36363636363636365,0.6189754471051834,0.20224719101123595,0.6437394968521911
16,0.625,1954,0.8140000000000001,Ella Fitzgerald,0.6779999999999999,0.467,0,0.0,0.11,0,How High The Moon - 1st Take,1954-01-01,0.0994,jazz,0.09205646806774129,0.4545454545454546,0.9380804100416105,0.5730337078651685,0.4143256665579773
17,0.6970000000000001,1954,0.7020000000000001,"Clifford Brown, Max Roach Quintet",0.654,0.33399999999999996,0,0.7140000000000001,0.114,1,Joy Spring,1954-12-01,0.0521,jazz,0.2292988675780453,0.7272727272727273,0.7318195596461738,0.5168539325842696,0.21804534851639112
18,0.6559999999999999,1954,0.66,Thelonious Monk Trio,0.444,0.33899999999999997,0,0.10300000000000001,0.163,1,Blue Monk - Rudy Van Gelder Remaster,1954,0.0418,jazz,0.25843386553764536,0.2727272727272727,0.61404282289399,0.5393258426966292,0.597839173292533
19,0.17300000000000001,1955,0.9520000000000001,Erroll Garner,0.431,0.161,0,0.799,0.106,0,Misty,1955-01-01,0.0389,jazz,0.07648120281575188,0.9090909090909092,0.5927967152580672,0.4157303370786517,0.321346158669643
